"ItemType","ID","Model"
"Static","BlackreachEPillar02","Dungeons\Caves\Blackreach\BlackreachEPillar02.nif"
"Static","BlackreachEPillar03","Dungeons\Caves\Blackreach\BlackreachEPillar03.nif"
"Static","BlackreachEPillar04","Dungeons\Caves\Blackreach\BlackreachEPillar04.nif"
"Static","BlackreachEPillar05","Dungeons\Caves\Blackreach\BlackreachEPillar05.nif"
"Static","BlackreachEPillar06","Dungeons\Caves\Blackreach\BlackreachEPillar06.nif"
"Static","BlackreachEWall01","Dungeons\Caves\Blackreach\BlackreachEWall01.nif"
"Static","BlackreachEWall01c","Dungeons\Caves\Blackreach\BlackreachEWall01c.nif"
"Static","BlackreachEWall01Hole","Dungeons\Caves\Blackreach\BlackreachEWall01Hole.ni..."
"Static","BlackreachEWall01HoleBlackreach","Dungeons\Caves\Blackreach\BlackreachEWall01Hole.ni..."
"Static","BlackreachEWall02","Dungeons\Caves\Blackreach\BlackreachEWall02.nif"
"Static","BlackreachEWall02c","Dungeons\Caves\Blackreach\BlackreachEWall02c.nif"
"Static","BlackreachEWall02Hole","Dungeons\Caves\Blackreach\BlackreachEWall02Hole.ni..."
"Static","BlackreachEWall02HoleBlackreach","Dungeons\Caves\Blackreach\BlackreachEWall02Hole.ni..."
"Static","BlackreachEWall03","Dungeons\Caves\Blackreach\BlackreachEWall03.nif"
"Static","BlackreachEWall03c","Dungeons\Caves\Blackreach\BlackreachEWall03c.nif"
"Static","BlackreachEWall03Hole","Dungeons\Caves\Blackreach\BlackreachEWall03Hole.ni..."
"Static","BlackreachEWall03HoleBlackreach","Dungeons\Caves\Blackreach\BlackreachEWall03Hole.ni..."
"Static","BlackreachEWall04","Dungeons\Caves\Blackreach\BlackreachEWall04.nif"
"Static","BlackreachEWall04c","Dungeons\Caves\Blackreach\BlackreachEWall04c.nif"
"Static","BlackreachEWall04Hole","Dungeons\Caves\Blackreach\BlackreachEWall04Hole.ni..."
"Static","BlackreachEWallCorner01","Dungeons\Caves\Blackreach\BlackreachEWallCorner01...."
"Static","BlackreachEWallCorner02","Dungeons\Caves\Blackreach\BlackreachEWallCorner02...."
"Static","BlackreachEWallInCorner01","Dungeons\Caves\Blackreach\BlackreachEWallInCorner0..."
"Static","BlackreachEWallInCorner02","Dungeons\Caves\Blackreach\BlackreachEWallInCorner0..."
"Static","BlackreachEWallStraight01","Dungeons\Caves\Blackreach\BlackreachEWallStraight0..."
"Static","BlackreachEWallStraight02","Dungeons\Caves\Blackreach\BlackreachEWallStraight0..."
"Static","BlackreachEWallUp01","Dungeons\Caves\Blackreach\BlackreachEWallUp01.nif"
"Static","BlackreachEWallUp02","Dungeons\Caves\Blackreach\BlackreachEWallUp02.nif"
"Static","BlackreachEWallUp03","Dungeons\Caves\Blackreach\BlackreachEWallUp03.nif"
"Static","BlackreachEWallUp03Blackreach","Dungeons\Caves\Blackreach\BlackreachEWallUp03.nif"
"Static","BlackreachEWallUp04","Dungeons\Caves\Blackreach\BlackreachEWallUp04.nif"
"Static","BlackReachGiantFlame01","Clutter\Blackreach\BlackReachGiantFlame01.nif"
"Static","BlackreachGiantMush01","Clutter\Blackreach\BlackreachGiantMushroom01.nif"
"Static","BlackreachGiantMush02","Clutter\Blackreach\BlackreachGiantMushroom02.nif"
"Static","BlackreachGiantMush03","Clutter\Blackreach\BlackreachGiantMushroom03.nif"
"Static","BlackreachGiantMush04","Clutter\Blackreach\BlackreachGiantMushroom04.nif"
"Static","BlackreachGiantMush05","Clutter\Blackreach\BlackreachGiantMushroom05.nif"
"Static","BlackreachGiantMushHoriz01","Clutter\Blackreach\BlackreachGiantMushHoriz01.nif"
"Static","BlackreachGiantMushHoriz02","Clutter\Blackreach\BlackreachGiantMushHoriz02.nif"
"Static","BlackreachGiantMushHoriz03","Clutter\Blackreach\BlackreachGiantMushHoriz03.nif"
"Static","BlackreachGiantMushHoriz04","Clutter\Blackreach\BlackreachGiantMushHoriz04.nif"
"Static","BlackreachSmallMushroom01","Clutter\Blackreach\BlackreachSmallMushroom01.nif"
"Static","BlackreachSmallMushroom02","Clutter\Blackreach\BlackreachSmallMushroom02.nif"
"Static","BlackreachSmallMushroom03","Clutter\Blackreach\BlackreachSmallMushroom03.nif"
"Static","BlackreachSmallMushroom04","Clutter\Blackreach\BlackreachSmallMushroom04.nif"
"Static","BlackreachSmallMushroom05","Clutter\Blackreach\BlackreachSmallMushroom05.nif"
"Static","BlackreachSun01","Clutter\Blackreach\BlackreachSun01.nif"
"Static","BlackreachTinyMushroom01","Clutter\Blackreach\BlackreachTinyMushroom01.nif"
"Static","BlackreachTinyMushroom01Dirt01","Clutter\Blackreach\BlackreachTinyMushroom01.nif"
"Static","BlackreachTinyMushroom02","Clutter\Blackreach\BlackreachTinyMushroom02.nif"
"Static","BlackreachTinyMushroom02Dirt01","Clutter\Blackreach\BlackreachTinyMushroom02.nif"
"Static","BlackreachVineFloor01","Clutter\Blackreach\BlackreachVineFloor01.nif"
"Static","BlacksmithAnvilStatic","Clutter\Blacksmith\BlacksmithAnvil01.nif"
"Static","BlacksmithSharpeningWheel01","Clutter\Blacksmith\BlacksmithSharpeningWheelStatic..."
"Static","BlacksmithWorkbench01","Clutter\Blacksmith\BlacksmithWorkbench01.nif"
"Static","BoneDeerSkullHornedStatic","Clutter\Bones\DeerSkullHornsStatic.nif"
"Static","BoneDeerSkullHornedStaticIce","Clutter\Bones\DeerSkullHornsStatic.nif"
"Static","BoneDeerSkullHornedStaticSnow","Clutter\Bones\DeerSkullHornsStatic.nif"
"Static","BoneDeerSkullStatic","Clutter\Bones\DeerSkullStatic.nif"
"Static","BoneDeerSkullStaticIce","Clutter\Bones\DeerSkullStatic.nif"
"Static","BoneDeerSkullStaticSnow","Clutter\Bones\DeerSkullStatic.nif"
"Static","BoneHumanArmLStatic","Clutter\Bones\HumanArmLeftStatic.nif"
"Static","BoneHumanArmLStaticSnow","Clutter\Bones\HumanArmLeftStatic.nif"
"Static","BoneHumanArmRStatic","Clutter\Bones\HumanArmRightStatic.nif"
"Static","BoneHumanArmRStaticSnow","Clutter\Bones\HumanArmRightStatic.nif"
"Static","BoneHumanFootLStatic","Clutter\Bones\HumanFootLeftStatic.nif"
"Static","BoneHumanFootLStaticSnow","Clutter\Bones\HumanFootLeftStatic.nif"
"Static","BoneHumanFootRStatic","Clutter\Bones\HumanFootRightStatic.nif"
"Static","BoneHumanFootRStaticSnow","Clutter\Bones\HumanFootRightStatic.nif"
"Static","BoneHumanHandLStatic","Clutter\Bones\HumanHandLeftStatic.nif"
"Static","BoneHumanHandLStaticSnow","Clutter\Bones\HumanHandLeftStatic.nif"
"Static","BoneHumanHandRStatic","Clutter\Bones\HumanHandRightStatic.nif"
"Static","BoneHumanHandRStaticSnow","Clutter\Bones\HumanHandRightStatic.nif"
"Static","BoneHumanLegLStatic","Clutter\Bones\HumanLegLeftStatic.nif"
"Static","BoneHumanLegLStaticIce","Clutter\Bones\HumanLegLeftStatic.nif"
"Static","BoneHumanLegLStaticSnow","Clutter\Bones\HumanLegLeftStatic.nif"
"Static","BoneHumanLegRStatic","Clutter\Bones\HumanLegRightStatic.nif"
"Static","BoneHumanLegRStaticSnow","Clutter\Bones\HumanLegRightStatic.nif"
"Static","BoneHumanRibcageFullStatic","Clutter\Bones\HumanRibcageFullStatic.nif"
"Static","BoneHumanRibcageFullStaticSnow","Clutter\Bones\HumanRibcageFullStatic.nif"
"Static","BoneHumanSkullFullStatic","Clutter\Bones\HumanSkullFullStatic.nif"
"Static","BoneHumanSkullFullStaticSnow","Clutter\Bones\HumanSkullFullStatic.nif"
"Static","BoneHumanSkullStatic","Clutter\Bones\HumanSkullStatic.nif"
"Static","BoneHumanSkullStaticSnow","Clutter\Bones\HumanSkullStatic.nif"
"Static","BoneHumanSpineStatic","Clutter\Bones\SpineStatic.nif"
"Static","BoneMammothRibs","Clutter\Bones\MammothRibcage.nif"
"Static","BoneMammothRibsBroken","Clutter\Bones\MammothRibcageBroken.nif"
"Static","BoneMammothRibsBrokenSnow","Clutter\Bones\MammothRibcageBroken.nif"
"Static","BoneMammothRibsBrokenSulfur","Clutter\Bones\MammothRibcageBroken.nif"
"Static","BoneMammothRibsIce","Clutter\Bones\MammothRibcage.nif"
"Static","BoneMammothRibsSnow","Clutter\Bones\MammothRibcage.nif"
"Static","BoneMammothRibsSulfur","Clutter\Bones\MammothRibcage.nif"
"Static","BoneMammothSkull1","Clutter\Bones\MammothSkull1.nif"
"Static","BoneMammothSkull1Snow","Clutter\Bones\MammothSkull1.nif"
"Static","BoneMammothSkull1Sulfur","Clutter\Bones\MammothSkull1.nif"
"Static","BoneMammothSkull2","Clutter\Bones\MammothSkull2.nif"
"Static","BoneMammothSkull2Snow","Clutter\Bones\MammothSkull2.nif"
"Static","BoneMammothSkull3","Clutter\Bones\MammothSkull3.nif"
"Static","BoneMammothSkull3Snow","Clutter\Bones\MammothSkull3.nif"
"Static","BoneMammothSkull3Sulfur","Clutter\Bones\MammothSkull3.nif"
"Static","BoneMammothSkull4","Clutter\Bones\MammothSkull4.nif"
"Static","BoneMammothSkull4Snow","Clutter\Bones\MammothSkull4.nif"
"Static","BoneMammothSkull4Sulfur","Clutter\Bones\MammothSkull4.nif"
"Static","BoundAxeEnchEffectsStatic","Weapons\BoundWeapons\BoundAxeEnchEffects.nif"
"Static","BoundBowStatic","Weapons\BoundWeapons\BoundBow.nif"
"Static","BoundSwordEnchEffectsStatic","Weapons\BoundWeapons\BoundSwordEnchEffects.nif"
"Static","BreweryCaskLargeClosed01","Clutter\BreweryCaskLargeClosed01.nif"
"Static","BreweryCaskLargeClosed02","Clutter\BreweryCaskLargeClosed02.nif"
"Static","BreweryCaskLargeOpen01","Clutter\BreweryCaskLargeOpen01.nif"
"Static","Bridge01","Landscape\Bridges\Bridge01.nif"
"Static","Bridge01FallForestDirt01","Landscape\Bridges\Bridge01.nif"
"Static","Bridge01ReachDirt01","Landscape\Bridges\Bridge01.nif"
"Static","Bridge01RiverBottom01","Landscape\Bridges\Bridge01.nif"
"Static","Bridge01Snow","Landscape\Bridges\Bridge01.nif"
"Static","BridgeLong01","Landscape\Bridges\BridgeLong01.nif"
"Static","BridgeLong01ReachDirt01","Landscape\Bridges\BridgeLong01.nif"
"Static","BridgeNarrow01","Landscape\Bridges\BridgeNarrow01.nif"
"Static","BridgeNarrow01_FallForestDirt01","Landscape\Bridges\BridgeNarrow01.nif"
"Static","BridgeShort01","Landscape\Bridges\BridgeShort01.nif"
"Static","BridgeShort01FallForestDirt01","Landscape\Bridges\BridgeShort01.nif"
"Static","BurialCairnStatic01LDirt02","Clutter\BurialCairn\BurialCairn01.nif"
"Static","BurialCairnStatic01Snow","Clutter\BurialCairn\BurialCairn01.nif"
"Static","BurialCairnStatic02LDirt02","Clutter\BurialCairn\BurialCairn02.nif"
"Static","BurialCairnStatic02Snow","Clutter\BurialCairn\BurialCairn02.nif"
"Static","BurialCairnStatic03LDirt02","Clutter\BurialCairn\BurialCairn03.nif"
"Static","BurialCairnStatic03Snow","Clutter\BurialCairn\BurialCairn03.nif"
"Static","BurntRubble01","Clutter\Helgen\BurntRubble01.nif"
"Static","BurntRubble01Rocks01","Clutter\Helgen\BurntRubble01.nif"
"Static","BurntRubble02","Clutter\Helgen\BurntRubble02.nif"
"Static","BurntRubble02Rocks01","Clutter\Helgen\BurntRubble02.nif"
"Static","BurntRubble03","Clutter\Helgen\BurntRubble03.nif"
"Static","BurntRubble03Rocks01","Clutter\Helgen\BurntRubble03.nif"
"Static","BurntRubble04","Clutter\Helgen\BurntRubble04.nif"
"Static","BurntRubble05","Clutter\Helgen\BurntRubble05.nif"
"Static","BurntRubble05Rocks01","Clutter\Helgen\BurntRubble05.nif"
"Static","BurntRubbleCart01","Clutter\Helgen\BurntRubbleCart01.nif"
"Static","BurntRubbleCaveDirt01","Clutter\Helgen\BurntRubble01.nif"
"Static","BurntRubbleCaveDirt02","Clutter\Helgen\BurntRubble02.nif"
"Static","BurntRubbleCaveDirt03","Clutter\Helgen\BurntRubble03.nif"
"Static","BurntRubbleCaveDirt04","Clutter\Helgen\BurntRubble04.nif"
"Static","BurntRubbleCaveDirt05","Clutter\Helgen\BurntRubble05.nif"
"Static","BurntRubbleNoDirt01","Clutter\Helgen\BurntRubbleNoDirt01.nif"
"Static","BurntRubbleNoDirt02","Clutter\Helgen\BurntRubbleNoDirt02.nif"
"Static","BurntRubbleNoDirt03","Clutter\Helgen\BurntRubbleNoDirt03.nif"
"Static","BurntRubbleNoDirt04","Clutter\Helgen\BurntRubbleNoDirt04.nif"
"Static","BurntRubbleNoDirt05","Clutter\Helgen\BurntRubbleNoDirt05.nif"
"Static","BurntRubbleNoDirt06","Clutter\Helgen\BurntRubbleNoDirt06.nif"
"Static","BurntRubbleNoDirt07","Clutter\Helgen\BurntRubbleNoDirt07.nif"
"Static","BurntWoodbeam01","Clutter\Helgen\BurntWoodbeam01.nif"
"Static","BurntWoodbeam02","Clutter\Helgen\BurntWoodbeam02.nif"
"Static","BurntWoodbeam03","Clutter\Helgen\BurntWoodbeam03.nif"
"Static","BurntWoodbeamShort01","Clutter\Helgen\BurntWoodbeamShort01.nif"
"Static","BurntWoodbeamShort02","Clutter\Helgen\BurntWoodbeamShort02.nif"
"Static","BurntWoodplanks01","Clutter\Helgen\BurntWoodplanks01.nif"
"Static","BurntWoodplanks02","Clutter\Helgen\BurntWoodplanks02.nif"
"Static","BurntWoodplanks03","Clutter\Helgen\BurntWoodplanks03.nif"
"Static","BurntWoodplanks04","Clutter\Helgen\BurntWoodplanks04.nif"
"Static","BurntWoodplanks05","Clutter\Helgen\BurntWoodplanks05.nif"
"Static","BurntWoodplanks06","Clutter\Helgen\BurntWoodplanks06.nif"
"Static","BurntWoodplanks07","Clutter\Helgen\BurntWoodplanks07.nif"
"Static","BurntWoodplanks08","Clutter\Helgen\BurntWoodplanks08.nif"
"Static","C06YsgramorStatueAxe","Weapons\AxeofYsgramor\AxeofYsgramor.nif"
"Static","CamCraneUp256x200","Cameras\CamCraneUp256x200.nif"
"Static","CamDollyBack1024x200","Cameras\CamDollyBack1024x200.nif"
"Static","CameraTest","Cameras\CameraTest.nif"
"Static","CamPanRight1024x200","Cameras\CamPanRight1024x200.nif"
"Static","Campfire01LandOff","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffCaveDirt","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffCoastBeach","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffDirt01","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffReachDirt","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffRiverbedEdge01","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffRocks01","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01LandOffSnow","Clutter\WoodFires\Campfire01LandOff.nif"
"Static","Campfire01Off","Clutter\WoodFires\Campfire01Off.nif"
"Static","CandleHornChandelier01","Clutter\Candles\CandleHornChandelier01.nif"
"Static","CandleHornChandelier02","Clutter\Candles\CandleHornChandelier02.nif"
"Static","CandleHornFloor01","Clutter\Candles\CandleHornFloor01.nif"
"Static","CandleHornTable01","Clutter\Candles\CandleHornTable01.nif"
"Static","CandleHornWall01","Clutter\Candles\CandleHornWall01.nif"
"Static","CandleLanternwithCandle01","Clutter\Common\CandleLanternwithCandle01.nif"
"Static","CartFurnStatic01","Furniture\Cart\CartFurnStatic01.nif"
"Static","CartPassengerSTATIC","Furniture\PrisonerCarriage\PrisonerCarriage01Stati..."
"Static","CartPassengerSTATICSnow","Furniture\PrisonerCarriage\PrisonerCarriage01Stati..."
"Static","CauldronEmpty","Clutter\Common\CauldronEmpty.nif"
"Static","CauldronEmpty02","Clutter\Common\CauldronEmpty02.nif"
"Static","CauldronStand","Clutter\Common\CauldronStand.nif"
"Static","CaveGBalconyCorner01","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner01...."
"Static","CaveGBalconyCorner01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner01...."
"Static","CaveGBalconyCorner02","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner02...."
"Static","CaveGBalconyCorner02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner02...."
"Static","CaveGBalconyCorner02Snow","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner02...."
"Static","CaveGBalconyCorner03","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner03...."
"Static","CaveGBalconyCorner03Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner03...."
"Static","CaveGBalconyCorner04","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner04...."
"Static","CaveGBalconyCorner04Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner04...."
"Static","CaveGBalconyCorner04Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCorner04...."
"Static","CaveGBalconyCurve01","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve01.n..."
"Static","CaveGBalconyCurve01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve01.n..."
"Static","CaveGBalconyCurve02","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve02.n..."
"Static","CaveGBalconyCurve02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve02.n..."
"Static","CaveGBalconyCurve03","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve03.n..."
"Static","CaveGBalconyCurve03Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve03.n..."
"Static","CaveGBalconyCurve04","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve04.n..."
"Static","CaveGBalconyCurve04Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyCurve04.n..."
"Static","CaveGBalconyICorner01","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner01..."
"Static","CaveGBalconyICorner01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner01..."
"Static","CaveGBalconyICorner02","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner02..."
"Static","CaveGBalconyICorner02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner02..."
"Static","CaveGBalconyICorner02Snow","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner02..."
"Static","CaveGBalconyICorner03","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner03..."
"Static","CaveGBalconyICorner03Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner03..."
"Static","CaveGBalconyICorner04","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner04..."
"Static","CaveGBalconyICorner04Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner04..."
"Static","CaveGBalconyICorner04Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyICorner04..."
"Static","CaveGBalconyMid01","Dungeons\Caves\Green\Balcony\CaveGBalconyMid01.nif"
"Static","CaveGBalconyMid01Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyMid01.nif"
"Static","CaveGBalconyMid01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyMid01.nif"
"Static","CaveGBalconyMid01Snow","Dungeons\Caves\Green\Balcony\CaveGBalconyMid01.nif"
"Static","CaveGBalconyMid02","Dungeons\Caves\Green\Balcony\CaveGBalconyMid02.nif"
"Static","CaveGBalconyMid02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyMid02.nif"
"Static","CaveGBalconyRamp01","Dungeons\Caves\Green\Balcony\CaveGBalconyRamp01.ni..."
"Static","CaveGBalconyRamp01Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyRamp01.ni..."
"Static","CaveGBalconyRamp01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyRamp01.ni..."
"Static","CaveGBalconyRamp02","Dungeons\Caves\Green\Balcony\CaveGBalconyRamp02.ni..."
"Static","CaveGBalconyRamp02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyRamp02.ni..."
"Static","CaveGBalconyShaftBridge01","Dungeons\Caves\Green\Balcony\CaveGBalconyShaftBrid..."
"Static","CaveGBalconyShaftBridge01falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyShaftBrid..."
"Static","CaveGBalconyShaftBridge01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyShaftBrid..."
"Static","CaveGBalconyShaftBridge01MossTEMP","Dungeons\Caves\Green\Balcony\CaveGBalconyShaftBrid..."
"Static","CaveGBalconyShelf01","Dungeons\Caves\Green\Balcony\CaveGBalconyShelf01.n..."
"Static","CaveGBalconyShelf01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyShelf01.n..."
"Static","CaveGBalconyShelf02","Dungeons\Caves\Green\Balcony\CaveGBalconyShelf02.n..."
"Static","CaveGBalconyShelf02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyShelf02.n..."
"Static","CaveGBalconyStraight01","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight01Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight01Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight02","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight02Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight02Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight02Snow","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight03","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight03Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight03Snow","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight04","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight04Falmer","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBalconyStraight04Ice","Dungeons\Caves\Green\Balcony\CaveGBalconyStraight0..."
"Static","CaveGBoulderL01","Dungeons\Caves\Green\Rocks\CaveGBoulderL01.nif"
"Static","CaveGBoulderL01Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderL01.nif"
"Static","CaveGBoulderL01Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderL01.nif"
"Static","CaveGBoulderL01Snow","Dungeons\Caves\Green\Rocks\CaveGBoulderL01.nif"
"Static","CaveGBoulderL01sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderL01.nif"
"Static","CaveGBoulderL02","Dungeons\Caves\Green\Rocks\CaveGBoulderL02.nif"
"Static","CaveGBoulderL02Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderL02.nif"
"Static","CaveGBoulderL02Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderL02.nif"
"Static","CaveGBoulderL02sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderL02.nif"
"Static","CaveGBoulderL03","Dungeons\Caves\Green\Rocks\CaveGBoulderL03.nif"
"Static","CaveGBoulderL03Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderL03.nif"
"Static","CaveGBoulderL03Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderL03.nif"
"Static","CaveGBoulderL03sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderL03.nif"
"Static","CaveGBoulderL04","Dungeons\Caves\Green\Rocks\CaveGBoulderL04.nif"
"Static","CaveGBoulderL04Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderL04.nif"
"Static","CaveGBoulderL04Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderL04.nif"
"Static","CaveGBoulderL04Snow","Dungeons\Caves\Green\Rocks\CaveGBoulderL04.nif"
"Static","CaveGBoulderL04sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderL04.nif"
"Static","CaveGBoulderL05","Dungeons\Caves\Green\Rocks\CaveGBoulderL05.nif"
"Static","CaveGBoulderL05Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderL05.nif"
"Static","CaveGBoulderL05Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderL05.nif"
"Static","CaveGBoulderL05sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderL05.nif"
"Static","CaveGBoulderM01","Dungeons\Caves\Green\Rocks\CaveGBoulderM01.nif"
"Static","CaveGBoulderM01Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderM01.nif"
"Static","CaveGBoulderM01Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderM01.nif"
"Static","CaveGBoulderM02","Dungeons\Caves\Green\Rocks\CaveGBoulderM02.nif"
"Static","CaveGBoulderM02Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderM02.nif"
"Static","CaveGBoulderM03","Dungeons\Caves\Green\Rocks\CaveGBoulderM03.nif"
"Static","CaveGBoulderM03Falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderM03.nif"
"Static","CaveGBoulderM03Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderM03.nif"
"Static","CaveGBoulderM04","Dungeons\Caves\Green\Rocks\CaveGBoulderM04.nif"
"Static","CaveGBoulderM04falmer","Dungeons\Caves\Green\Rocks\CaveGBoulderM04.nif"
"Static","CaveGBoulderM04Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderM04.nif"
"Static","CaveGBoulderPileS01","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS01.nif"
"Static","CaveGBoulderPileS01Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS01.nif"
"Static","CaveGBoulderPileS01sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS01.nif"
"Static","CaveGBoulderPileS02","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS02.nif"
"Static","CaveGBoulderPileS02Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS02.nif"
"Static","CaveGBoulderPileS02sn_light","Dungeons\Caves\Green\Rocks\CaveGBoulderPileS02.nif"
"Static","CaveGBoulderS01","Dungeons\Caves\Green\Rocks\CaveGBoulderS01.nif"
"Static","CaveGBoulderS01Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderS01.nif"
"Static","CaveGBoulderS02","Dungeons\Caves\Green\Rocks\CaveGBoulderS02.nif"
"Static","CaveGBoulderS02Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderS02.nif"
"Static","CaveGBoulderS03","Dungeons\Caves\Green\Rocks\CaveGBoulderS03.nif"
"Static","CaveGBoulderS03Ice","Dungeons\Caves\Green\Rocks\CaveGBoulderS03.nif"
"Static","CaveGCeiling01","Dungeons\Caves\Green\LargeWall\CaveGCeiling01.nif"
"Static","CaveGCeiling01Falmer","Dungeons\Caves\Green\LargeWall\CaveGCeiling01.nif"
"Static","CaveGCeiling01ice","Dungeons\Caves\Green\LargeWall\CaveGCeiling01.nif"
"Static","CaveGCliffs01","Dungeons\Caves\Green\Cliffs\CaveGCliffs01.nif"
"Static","CaveGCliffs01Falmer","Dungeons\Caves\Green\Cliffs\CaveGCliffs01.nif"
"Static","CaveGCliffs01ice","Dungeons\Caves\Green\Cliffs\CaveGCliffs01.nif"
"Static","CaveGCliffs02","Dungeons\Caves\Green\Cliffs\CaveGCliffs02.nif"
"Static","CaveGCliffs02Falmer","Dungeons\Caves\Green\Cliffs\CaveGCliffs02.nif"
"Static","CaveGCliffs02ice","Dungeons\Caves\Green\Cliffs\CaveGCliffs02.nif"
"Static","CaveGCliffs03","Dungeons\Caves\Green\Cliffs\CaveGCliffs03.nif"
